ID,WER
09-117__FREE__transcription,0.10891089108910891
09-055__FREE__transcription,0.31521739130434784
09-001__FREE__transcription,0.19148936170212766
09-059__FREE__transcription,0.04878048780487805
09-208__FREE__transcription,0.09259259259259259
09-024__FREE__transcription,0.043010752688172046
09-136__FREE__transcription,0.4473684210526316
19-041__FREE__transcription,0.03260869565217391
24-002__FREE__transcription,0.029585798816568046
09-228__FREE__transcription,0.05263157894736842
19-020__FREE__transcription,0.025
09-026__FREE__transcription,0.19230769230769232
09-203__FREE__transcription,0.054455445544554455
09-075__FREE__transcription,0.09693877551020408
09-011__FREE__transcription,0.06428571428571428
09-042__FREE__transcription,0.03508771929824561
09-133__FREE__transcription,0.041666666666666664
09-057__FREE__transcription,0.04950495049504951
09-223__FREE__transcription,0.06504065040650407
19-046__FREE__transcription,0.21875
09-190__FREE__transcription,0.05732484076433121
09-192__FREE__transcription,0.03985507246376811
